Group,Action,Link,Setting,Level,Needs,Other,Affinity,State,Region,Latitude,Longitude,Expiration,Initials,Group Contact,,geodeticDa,utmZone
Sierra Club Montana,Tell NorthWestern Energy to protect Montana's future,https://act.sierraclub.org/actions/National?actionId=AR0163068&id=70131000001hRELAA2&_ga=2.148210544.636816902.1598277976-1399987987.1595020658,1,1,1,,1,Montana,4,46.8727431,-113.9946677,NA,LH,summer.nelson@sierraclub.org,,WGS84,18N
350Montana,Tell the Montana PSC: Don't Block Public Participation,https://www.change.org/p/public-participation-is-a-constitutional-right-in-montana,2,2,2,,2,Montana,4,46.88139893,-113.9948315,NA,LH,350Montana@gmail.com,,WGS84,18N
Citizens' Climate Lobby Billings,,https://citizensclimatelobby.org/chapters/MT_Billings/,3,3,3,,3,Montana,4,45.79236783,-108.5005244,NA,LH,billings@citizensclimatelobby.org,,WGS84,18N
Bitterroot Climate Action Group,,https://bitterrootcag.org/become-a-member/,4,4,4,,4,Montana,4,46.25052489,-114.1557292,NA,LH,https://bitterrootcag.org/contact-us/,,WGS84,18N
Citizens' Climate Lobby Bitterroot,,https://citizensclimatelobby.org/chapters/MT_Bitterroot/,1,5,5,,5,Montana,4,45.93140919,-114.1245718,NA,LH,bitterroot.mt@citizensclimatelobby.org,,WGS84,18N
Bozeman Citizens' Climate Lobby/Education,,https://citizensclimatelobby.org/chapters/MT_Bozeman/,2,1,6,,6,Montana,4,45.67744709,-111.042895,NA,LH,bozeman@citizensclimatelobby.org,,WGS84,18N
Citizens' Climate Lobby Flathead Valley,,flatheadvalley.mt@citizensclimatelobby.org,3,2,7,,7,Montana,4,48.20635581,-114.3146429,NA,LH,flatheadvalley.mt@citizensclimatelobby.org,,WGS84,18N
Citizens' Climate Lobby Helena,,mtcitizensclimate@att.net,4,3,8,,8,Montana,4,46.59286474,-112.0390427,NA,LH,mtcitizensclimate@att.net,,WGS84,18N
Citizens' Climate Lobby Missoula,,missoula@citizensclimatelobby.org,1,4,9,,1,Montana,4,46.88139893,-113.9948315,NA,LH,missoula@citizensclimatelobby.org,,WGS84,18N
Climate Smart Missoula and Families for a Livable Climate,Dear Tomorrow Missoula,https://livableclimate.org/deartomorrow-missoula,2,5,10,letter writing,2,Montana,4,46.88139893,-113.9948315,NA,LH,https://livableclimate.org/contact,,WGS84,18N
Families for a Livable Climate,Fridays for Action,https://livableclimate.org/fridaysforaction,3,1,11,,3,Montana,4,46.88139893,-113.9948315,NA,LH,https://livableclimate.org/contact,,WGS84,18N
Northern Plains Resource Council,,https://northernplains.org/farm-to-school-sign-on-petition/,4,2,1,,4,Montana,4,45.77867061,-108.5008599,NA,LH,info@northernplains.org,,WGS84,18N
Alliance for the Wild Rockies,Contact Legislators for NREPA,https://allianceforthewildrockies.org/take-action/,1,3,2,,5,Montana,4,46.59286474,-112.0390427,NA,LH,wildrockies@gmail.com,,WGS84,18N
